first_name,last_name,price,above_100
Clarissa,Ayala,852.59,True
Maia,Stokes,75.14,False
Libby,Mays,865.85,True
Kamren,Ruiz,275.93,True
Denzel,Meyers,832.84,True
Gavyn,Patel,718.51,True
Aldo,Brandt,401.37,True
Daniela,Singh,879.46,True
Rogelio,York,668.56,True
Iyana,Campbell,164.34,True
April,Riddle,552.33,True
Mckenzie,Trujillo,959.46,True
Henry,Winters,491.0,True
Brett,Boyle,327.93,True
Erik,Mullins,155.49,True
Michaela,Hammond,96.24,False
Ashlee,Burns,716.74,True
Gavyn,Hudson,77.76,False
Reagan,Carney,131.87,True
Keenan,Branch,620.99,True
Destiny,Velazquez,376.09,True
Jamya,Baker,486.69,True
Serenity,King,995.71,True
Amanda,Jacobson,26.51,False
Jaeden,Lawson,557.78,True
Valery,Vance,473.91,True
Kameron,Lucas,355.0,True
Riley,Jimenez,988.43,True
Rocco,Nash,918.73,True
Reginald,Berry,107.9,True
Gianna,Daniel,638.52,True
Evie,Travis,49.54,False
Gideon,Brown,551.95,True
Brodie,Rangel,616.7,True
Brittany,Knight,577.48,True
Trace,Padilla,820.06,True
Maurice,Aguilar,5.3,False
Amber,Calhoun,594.07,True
Luca,Randolph,660.53,True
Jacqueline,Fox,599.62,True
Jazlynn,Bishop,764.0,True
Judith,Morgan,736.34,True
Sidney,Spears,672.27,True
Eden,Morales,809.87,True
Jovany,Hahn,643.47,True
Madilyn,Cantrell,570.65,True
Deven,Bridges,657.09,True
Deacon,Davies,633.85,True
Nikolas,Rogers,548.44,True
Lexi,Floyd,740.7,True
Camille,Tanner,132.18,True
Raquel,Wolf,252.05,True
Lincoln,Hinton,78.11,False
Shiloh,Osborne,904.35,True
Lainey,Butler,543.06,True
Leonel,Parsons,870.95,True
Claudia,Schneider,280.74,True
Izaiah,Steele,219.38,True
Daphne,Spears,581.11,True
Guadalupe,Pope,334.43,True
Ava,Montes,579.23,True
Kendal,Stuart,930.81,True
Rex,Cobb,875.72,True
Brooks,Chambers,676.41,True
Jairo,Finley,163.03,True
Bronson,Maddox,759.16,True
Josephine,Mckenzie,956.73,True
Ismael,Weeks,285.37,True
Cora,Kirk,264.14,True
David,Elliott,745.99,True
Terry,Bryant,405.92,True
Anton,English,655.47,True
Cannon,Alexander,455.24,True
Jayce,Acosta,648.98,True
Bridget,Hardy,933.45,True
Maggie,Mcintyre,387.37,True
Aniyah,Pace,882.78,True
Gabrielle,Gallagher,681.15,True
Christina,Horton,424.67,True
Benjamin,Wheeler,736.39,True
Malik,Doyle,606.39,True
Taryn,Sparks,865.58,True
Cody,Castro,352.53,True
Micah,Riley,46.24,False
Kingston,Bernard,127.12,True
Griffin,Wheeler,707.69,True
Davion,Moses,957.52,True
Kylan,Douglas,876.25,True
Colten,Elliott,514.44,True
Jaida,Ramos,870.82,True
Rylee,Kirby,967.12,True
Aliya,Cooley,689.4,True
Sincere,York,252.32,True
Skyler,Lane,101.68,True
Kelly,Jackson,464.43,True
Romeo,Berg,930.29,True
Nevaeh,Sparks,771.72,True
