Name,Price
Nayeli Little,45.24419709
Isaias Gaines,40.4869714
Austin George,73.78801278
Francisco Murillo,16.03130914
Alan Maddox,30.87977398
Ryleigh Day,10.12792572
Coby Alexander,4.249037675
Taniya Tapia,57.96914706
Alfonso Hodges,7.746313143
Jacoby Stuart,53.39804551
Kymani Hickman,15.63232797
Albert Boyle,23.7062796
Adalyn Cowan,49.22385086
Samara Cline,7.16758633
Jovani Anderson,60.14146429
Talon Ryan,50.68869112
Darrell Cantu,97.29138709
Sanai Huerta,32.59872209
Scott Lawson,4.676539736
Dayanara Hudson,10.65151766
Chad Larson,55.82612523
Kristin Eaton,51.0097919
Averie Swanson,98.36368044
Levi Sampson,20.88283128
Rihanna Bolton,95.45301329
Mario Shah,96.87121625
Destiney Kerr,15.39138006
Jakayla Boyer,25.67308803
Katherine Lowery,62.63162432
Serena Haley,42.27221776
Sheldon Keith,92.28128371
Jaydon Valencia,46.21181973
Lana Meza,0.275865285
Alexus Christian,40.61955807
Rocco Whitehead,36.5185917
Jorge Bryan,49.88371036
Eric Cunningham,94.24906034
Adalynn Ruiz,15.77065134
Ahmed Blanchard,15.27395091
Camilla Murray,96.97444334
Dillan Zavala,23.07791239
Lee Avery,72.61945643
Camron Luna,59.16551706
Antony Woodard,23.05978138
Charity Lara,45.41458287
Rebekah Graham,69.23882738
Journey Woodard,27.60576845
Dexter Hale,45.76035773
Damaris Herman,48.53094817
Elyse Kent,18.73994098
Noah Ponce,17.73476797
Jermaine Lester,22.47323311
Korbin Miles,33.77503789
Graham Blair,57.91854797
Alexander Watson,68.52686242
Jewel Castro,47.74831542
Jonathan Bridges,99.40324935
Marisol Warren,38.19854168
Akira Ho,84.43109162
Jessica Bradley,16.4200336
Rashad Navarro,25.18303588
Braelyn Reeves,47.7803656
Damarion Allen,90.9756041
Lailah Richmond,28.96608042
Cora Lynn,42.77193963
Dahlia Hutchinson,22.72385956
Johnathan Barnett,9.869974587
Jayce Waters,14.86970422
Amaya Bradley,55.04670898
Shane Yates,98.18640101
Heidy Goodwin,73.63936218
Aliza Berry,82.73211108
Jessica Chang,57.76652555
Sara Duarte,28.25048784
Rylee Newman,63.07955838
Harrison Middleton,71.65843938
Maximo French,14.33981623
Mina Chambers,54.91765907
Ali Massey,67.89362658
Marlene Mercer,74.56500775
Bruce Marquez,94.8586653
Clare Webster,52.48230691
Elias Proctor,91.13052802
Timothy Lutz,25.47099949
Alanna Lowe,14.43771673
Asher Guerra,11.16127962
Caden Leon,31.41033272
Abbigail Suarez,30.89872871
Alani Berger,93.08679413
Laylah Sexton,66.23174776
Macie Gentry,39.6857534
Alyvia Guzman,90.08818746
Lilyana Reid,33.90582861
Graham Valenzuela,99.67286256
Cortez Jefferson,91.32278542
Makai Mata,95.84867926
Noel Clay,84.97814577
Samson Weiss,2.375248396
Tiana Cabrera,21.42037667
Jaylyn Li,88.65971992
Jaylen Oneill,51.23256417
Anahi Rich,63.17964408
Reese Kennedy,6.237737911
Landyn Douglas,35.20022095
Gisselle Huffman,19.06049502
Darien Hodges,5.417825055
Dashawn Livingston,2.872732846
Jefferson Walton,39.57231346
Maeve Christensen,86.81179261
Areli Mendez,80.40495282
Zechariah Hodges,51.47288118
Anastasia Daniels,91.8183326
Madilynn Friedman,24.12479126
Case Dillon,35.53547687
Guillermo Campbell,84.27449709
Muhammad Hancock,35.93474411
Aliana Oneill,86.08911692
Derek Bradford,75.12958477
Lorelai Pineda,74.00094273
Denzel Galvan,24.6479547
Heaven Huynh,53.71114926
Tamara Kidd,39.48967086
Niko Rivers,28.68358605
Madilyn Irwin,73.4915745
Tamara Mullins,34.90818733
Casey Mcgrath,52.35846145
Harley Hatfield,21.89407779
Athena Valentine,70.46796154
Howard Mooney,9.444933495
Rhys Crawford,97.07449842
Darrell Ward,23.47058042
Wendy Mora,31.91205521
Mattie Chen,29.41194008
Paisley Frey,4.611833244
Alejandra Crane,62.61919605
Emilio Jensen,46.82284478
Bronson Cantrell,68.28737142
Kelvin Schroeder,76.8632137
Conrad Cochran,46.13816856
Janelle Patel,45.95158016
Pamela Shields,32.52626212
Madilyn Hurst,71.33833808
Stacy Fischer,79.46396049
Alejandro Cook,13.6789573
Ali Dillon,35.32089816
Evan Wong,50.70684736
Oscar Dyer,9.308526334
Coleman Everett,33.06897616
Dayton Berry,77.74761579
Eva Hart,97.70260492
Sage Casey,21.90987518
Triston Montgomery,59.26583257
Augustus Steele,61.67823245
Nick Oliver,32.37292104
Gaven Dudley,38.88678874
Hazel Maynard,97.4033971
Luca Wise,12.76390991
Lilianna Mccullough,10.53650788
Kara Sheppard,38.03793565
Kassidy Johnston,46.63754141
Jacey Mckay,92.09748391
Julianne Rocha,56.4719237
Madilyn Morgan,62.9735696
Draven Lucero,55.83215776
Ian Greer,27.36330524
Kailey Lawson,6.873524229
Lucille Ramos,33.41350545
Natalia Adams,69.8120944
Arturo Gallegos,24.07568153
Isabell Rowland,83.6053728
Violet Acevedo,48.88270167
Kobe Cameron,42.78527978
Draven Rasmussen,86.67943559
Milton Moreno,12.81867801
Greta Romero,63.85852748
Moshe Kaufman,52.90098182
Brennan Rodgers,78.35463025
Amber Rivas,8.508803332
Mathias Cochran,74.0731067
Estrella Jordan,79.24247975
Ryan Sawyer,33.79251616
Arianna Barber,31.84522184
Nickolas Underwood,75.65236923
Marley Cervantes,20.7042628
Lennon Burke,45.27925992
Peter Mosley,35.87302797
Sage Melton,23.21768963
Aleah Webster,12.21422649
Destinee Stuart,23.63215021
Kinsley Chapman,81.07744024
Brynlee Morrison,15.75011886
Yadiel Bright,58.75621459
Akira Montes,37.95617818
Lexi Buckley,52.74731061
Susan White,53.1913191
Isai Knight,62.61650144
Maliyah Stark,94.35739698
Talon Mitchell,31.64941311
Josephine Bonilla,67.37689388
Kimberly Krause,75.67522073
Aydin Mullins,52.22480756
Amiya Hinton,23.55552151
Giselle Munoz,60.24151844
Jimena Dorsey,97.28745375
Charlize Raymond,82.60840392
Ivan Barton,15.86074754
